Bracket,Round,Game_ID,Winner,Model_Favorite,Is_Upset
7,1,17,Arizona,Arizona,False
7,1,18,Utah State,Utah State,False
7,1,19,High Point,Wisconsin,True
7,1,20,Arkansas,Arkansas,False
7,1,21,BYU,BYU,False
7,1,22,Gonzaga,Gonzaga,False
7,1,23,Miami,Miami,False
7,1,24,Purdue,Purdue,False
7,1,25,Michigan,Michigan,False
7,1,26,Saint Louis,Saint Louis,False
7,1,27,Texas Tech,Texas Tech,False
7,1,28,Hofstra,Alabama,True
7,1,29,Miami-OH,Tennessee,True
7,1,30,Virginia,Virginia,False
7,1,31,Santa Clara,Kentucky,True
7,1,32,Iowa State,Iowa State,False
7,2,33,Duke,Duke,False
7,2,34,Northern Iowa,Northern Iowa,False
7,2,35,Michigan State,Michigan State,False
7,2,36,UCLA,UCLA,False
7,2,37,Florida,Florida,False
7,2,38,Vanderbilt,Vanderbilt,False
7,2,39,Illinois,Illinois,False
7,2,40,Houston,Saint Mary's,True
7,2,41,Arizona,Arizona,False
7,2,42,Arkansas,Arkansas,False
7,2,43,Gonzaga,Gonzaga,False
7,2,44,Miami,Purdue,True
7,2,45,Michigan,Michigan,False
7,2,46,Hofstra,Texas Tech,True
7,2,47,Virginia,Virginia,False
7,2,48,Iowa State,Iowa State,False
7,3,49,Duke,Duke,False
7,3,50,UCLA,UCLA,False
7,3,51,Florida,Vanderbilt,True
7,3,52,Houston,Illinois,True
7,3,53,Arizona,Arizona,False
7,3,54,Gonzaga,Gonzaga,False
7,3,55,Michigan,Michigan,False
7,3,56,Virginia,Virginia,False
7,4,57,Duke,Duke,False
7,4,58,Florida,Florida,False
7,4,59,Arizona,Arizona,False
7,4,60,Michigan,Michigan,False
7,5,61,Duke,Duke,False
7,5,62,Arizona,Michigan,True
7,6,63,Arizona,Arizona,False
8,1,1,Duke,Duke,False
8,1,2,Ohio State,Ohio State,False
8,1,3,St. John's,St. John's,False
8,1,4,Kansas,Kansas,False
8,1,5,Louisville,Louisville,False
8,1,6,Michigan State,Michigan State,False
8,1,7,UCLA,UCLA,False
8,1,8,Connecticut,Connecticut,False
8,1,9,Florida,Florida,False
8,1,10,Clemson,Clemson,False
8,1,11,Vanderbilt,Vanderbilt,False
8,1,12,Nebraska,Nebraska,False
8,1,13,VCU,North Carolina,True
8,1,14,Illinois,Illinois,False
8,1,15,Saint Mary's,Saint Mary's,False
8,1,16,Houston,Houston,False
8,1,17,Arizona,Arizona,False
8,1,18,Utah State,Utah State,False
8,1,19,Wisconsin,Wisconsin,False
8,1,20,Arkansas,Arkansas,False
8,1,21,BYU,BYU,False
8,1,22,Gonzaga,Gonzaga,False
8,1,23,Missouri,Miami,True
8,1,24,Purdue,Purdue,False
8,1,25,Michigan,Michigan,False
8,1,26,Georgia,Saint Louis,True
8,1,27,Texas Tech,Texas Tech,False
8,1,28,Alabama,Alabama,False
8,1,29,Tennessee,Tennessee,False
8,1,30,Virginia,Virginia,False
8,1,31,Santa Clara,Kentucky,True
8,1,32,Iowa State,Iowa State,False
8,2,33,Duke,Duke,False
8,2,34,Kansas,Kansas,False
8,2,35,Louisville,Michigan State,True
8,2,36,Connecticut,UCLA,True
8,2,37,Florida,Florida,False
8,2,38,Vanderbilt,Vanderbilt,False
8,2,39,Illinois,Illinois,False
8,2,40,Houston,Saint Mary's,True
8,2,41,Arizona,Arizona,False
8,2,42,Arkansas,Arkansas,False
8,2,43,Gonzaga,Gonzaga,False
8,2,44,Purdue,Purdue,False
8,2,45,Michigan,Michigan,False
8,2,46,Texas Tech,Texas Tech,False
8,2,47,Virginia,Virginia,False
8,2,48,Iowa State,Iowa State,False
8,3,49,Kansas,Duke,True
8,3,50,Connecticut,Connecticut,False
8,3,51,Vanderbilt,Vanderbilt,False
8,3,52,Illinois,Illinois,False
8,3,53,Arizona,Arizona,False
8,3,54,Purdue,Purdue,False
8,3,55,Texas Tech,Michigan,True
8,3,56,Iowa State,Virginia,True
8,4,57,Kansas,Kansas,False
8,4,58,Vanderbilt,Illinois,True
8,4,59,Purdue,Purdue,False
8,4,60,Texas Tech,Texas Tech,False
8,5,61,Vanderbilt,Vanderbilt,False
8,5,62,Purdue,Purdue,False
8,6,63,Purdue,Purdue,False
9,1,1,Duke,Duke,False
9,1,2,Ohio State,Ohio State,False
9,1,3,Northern Iowa,St. John's,True
9,1,4,Kansas,Kansas,False
9,1,5,USF,Louisville,True
9,1,6,Michigan State,Michigan State,False
9,1,7,UCLA,UCLA,False
9,1,8,Connecticut,Connecticut,False
9,1,9,Florida,Florida,False
9,1,10,Clemson,Clemson,False
9,1,11,Vanderbilt,Vanderbilt,False
9,1,12,Nebraska,Nebraska,False
9,1,13,VCU,North Carolina,True
9,1,14,Illinois,Illinois,False
9,1,15,Saint Mary's,Saint Mary's,False
9,1,16,Houston,Houston,False
9,1,17,Arizona,Arizona,False
9,1,18,Utah State,Utah State,False
9,1,19,Wisconsin,Wisconsin,False
9,1,20,Arkansas,Arkansas,False
9,1,21,Texas,BYU,True
9,1,22,Gonzaga,Gonzaga,False
9,1,23,Miami,Miami,False
9,1,24,Purdue,Purdue,False
9,1,25,Michigan,Michigan,False
9,1,26,Georgia,Saint Louis,True
9,1,27,Akron,Texas Tech,True
9,1,28,Alabama,Alabama,False
9,1,29,Tennessee,Tennessee,False
9,1,30,Virginia,Virginia,False
9,1,31,Kentucky,Kentucky,False
9,1,32,Iowa State,Iowa State,False
9,2,33,Duke,Duke,False
9,2,34,Kansas,Kansas,False
9,2,35,Michigan State,Michigan State,False
9,2,36,UCLA,UCLA,False
9,2,37,Clemson,Florida,True
9,2,38,Nebraska,Vanderbilt,True
9,2,39,Illinois,Illinois,False
9,2,40,Saint Mary's,Saint Mary's,False
9,2,41,Arizona,Arizona,False
9,2,42,Arkansas,Arkansas,False
9,2,43,Gonzaga,Gonzaga,False
9,2,44,Purdue,Purdue,False
9,2,45,Michigan,Michigan,False
9,2,46,Alabama,Alabama,False
