SEED,SEED_DIFF,MC_WIN_PROB,MC_WIN_MARGIN,PROJECTED_POSSESSIONS,FT_RATE_DIFF,3PT_RATE_DIFF,WIN
1,-3,0.496,-8,64.88266041831929,-0.0369672843060872,-0.007458378781206643,0
4,3,0.504,8,64.88266041831929,0.0369672843060872,0.007458378781206643,1
2,-9,0.514,28,69.05677020966061,-0.056494963738920184,0.0766923851732475,0
11,9,0.486,-28,69.05677020966061,0.056494963738920184,-0.0766923851732475,1
5,4,0.504,8,67.09490490844803,-0.0771176056338028,-0.034679841549295765,0
1,-4,0.496,-8,67.09490490844803,0.0771176056338028,0.034679841549295765,1
3,1,0.638,276,68.1557648489113,-0.057083975659229236,0.07478661257606489,0
2,-1,0.362,-276,68.1557648489113,0.057083975659229236,-0.07478661257606489,1
3,2,0.631,262,65.07925184439416,0.0340174275895925,-0.017140893470790397,0
1,-2,0.369,-262,65.07925184439416,-0.0340174275895925,0.017140893470790397,1
6,2,0.224,-552,70.7486467829473,-0.03329849036158494,-0.0660002783016494,0
4,-2,0.776,552,70.7486467829473,0.03329849036158494,0.0660002783016494,1
4,-7,0.593,186,66.686264233585,0.014086096736719816,0.04103324004646741,0
11,7,0.407,-186,66.686264233585,-0.014086096736719816,-0.04103324004646741,1
2,1,0.65,300,66.75906829840469,-0.04491466445733222,0.06378376139188069,0
1,-1,0.35,-300,66.75906829840469,0.04491466445733222,-0.06378376139188069,1
4,3,0.834,668,68.28059669538928,0.034974015381030094,0.06201903208265358,0
1,-3,0.166,-668,68.28059669538928,-0.034974015381030094,-0.06201903208265358,1
11,10,0.487,-26,67.63486788277328,-0.06234113504556746,-0.012907415078707463,1
1,-10,0.513,26,67.63486788277328,0.06234113504556746,0.012907415078707463,0
1,0,0.533,66,64.99968931655505,-0.05891046277665993,0.05523474178403759,1
1,0,0.467,-66,64.99968931655505,0.05891046277665993,-0.05523474178403759,0
16,0,0.225,-550,69.31388004451907,0.0,0.0,1
16,0,0.775,550,69.31388004451907,0.0,0.0,0
11,0,0.403,-194,68.72807893306498,0.0,0.0,0
11,0,0.597,194,68.72807893306498,0.0,0.0,1
16,0,0.544,88,64.90534281523533,0.0,0.0,0
16,0,0.456,-88,64.90534281523533,0.0,0.0,1
11,0,0.167,-666,67.01828786173377,0.0,0.0,0
11,0,0.833,666,67.01828786173377,0.0,0.0,1
1,-15,0.742,484,69.69559686383988,0.0,0.0,1
16,15,0.258,-484,69.69559686383988,0.0,0.0,0
8,-1,0.37,-260,68.14226040091155,0.0,0.0,0
9,1,0.63,260,68.14226040091155,0.0,0.0,1
5,-7,0.649,298,66.37683704352116,0.0,0.0,1
12,7,0.351,-298,66.37683704352116,0.0,0.0,0
4,-9,0.39,-220,69.71727339724646,0.0,0.0,1
13,9,0.61,220,69.71727339724646,0.0,0.0,0
6,-5,0.701,402,69.96289361801587,0.0,0.0,1
11,5,0.299,-402,69.96289361801587,0.0,0.0,0
3,-11,0.401,-198,68.0845259283173,0.0,0.0,1
14,11,0.599,198,68.0845259283173,0.0,0.0,0
7,-3,0.881,762,69.12669080697032,0.0,0.0,0
10,3,0.119,-762,69.12669080697032,0.0,0.0,1
2,-13,0.849,698,70.03951559938173,0.0,0.0,1
15,13,0.151,-698,70.03951559938173,0.0,0.0,0
1,-15,0.908,816,68.05851354476721,0.0,0.0,1
16,15,0.092,-816,68.05851354476721,0.0,0.0,0
8,-1,0.695,390,66.58862225082464,0.0,0.0,0
9,1,0.305,-390,66.58862225082464,0.0,0.0,1
5,-7,0.479,-42,65.23138539067057,0.0,0.0,1
